Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Delay
2006,11,7,2,556.0,600,705.0,715,AA,1958,N4YPAA,69.0,75.0,53.0,-10.0,-4.0,LAX,SFO,337,3,13,0,0,0,0,0,0,0,N
2006,2,7,2,800.0,800,958.0,1002,YV,7328,N37208,58.0,62.0,35.0,-4.0,0.0,ORD,MBS,222,5,18,0,0,0,0,0,0,0,N
2006,10,7,6,744.0,657,1100.0,1035,AA,1305,N5DLAA,136.0,158.0,121.0,25.0,47.0,STL,MIA,1068,7,8,0,0,25,0,0,0,0,Y
2006,2,17,5,1535.0,1505,1659.0,1627,CO,1707,N69351,144.0,142.0,123.0,32.0,30.0,TPA,IAH,787,4,17,0,0,4,0,2,0,26,Y
2006,12,22,5,904.0,825,1010.0,920,MQ,3060,N388AE,66.0,55.0,32.0,50.0,39.0,SAN,LAX,109,10,24,0,0,23,0,11,0,16,Y
2006,11,2,4,828.0,830,1017.0,955,XE,2200,N13903,109.0,85.0,47.0,22.0,-2.0,EWR,ROC,246,8,54,0,0,0,0,22,0,0,Y
2006,1,11,3,1222.0,1220,1456.0,1523,DL,1200,N236WA,154.0,183.0,135.0,-27.0,2.0,FLL,CVG,932,5,14,0,0,0,0,0,0,0,Y
2006,11,29,3,1446.0,1420,1751.0,1730,WN,1156,N794,125.0,130.0,108.0,21.0,26.0,DEN,MDW,895,5,12,0,0,6,0,0,0,15,Y
2006,8,22,2,842.0,845,1003.0,1010,WN,1008,N526,81.0,85.0,67.0,-7.0,-3.0,MSY,BNA,471,5,9,0,0,0,0,0,0,0,N
2006,8,8,2,2117.0,2120,2144.0,2153,XE,2051,N12157,147.0,153.0,125.0,-9.0,-3.0,IAH,TUS,936,8,14,0,0,0,0,0,0,0,N
2006,8,17,4,2035.0,2040,2140.0,2152,UA,1443,N494UA,125.0,132.0,110.0,-12.0,-5.0,DEN,ONT,819,3,12,0,0,0,0,0,0,0,N
2006,7,14,5,802.0,810,840.0,858,MQ,3349,N238AE,38.0,48.0,24.0,-18.0,-8.0,DFW,ACT,89,2,12,0,0,0,0,0,0,0,N
2006,4,12,3,742.0,740,1429.0,1423,CO,368,N73278,227.0,223.0,203.0,6.0,2.0,PHX,CLE,1737,7,17,0,0,0,0,0,0,0,Y
2006,8,13,7,920.0,925,1041.0,1055,UA,881,N589UA,141.0,150.0,104.0,-14.0,-5.0,EWR,ORD,719,4,33,0,0,0,0,0,0,0,N
2006,4,10,1,1140.0,1133,1417.0,1419,UA,1450,N491UA,97.0,106.0,74.0,-2.0,7.0,PHX,DEN,602,9,14,0,0,0,0,0,0,0,Y
2006,9,5,2,1608.0,1500,1745.0,1650,US,962,N418US,97.0,110.0,81.0,55.0,68.0,PBI,CLT,590,3,13,0,0,0,0,0,0,55,Y
2006,7,25,2,1959.0,1942,2103.0,2050,MQ,3486,N692AE,124.0,128.0,105.0,13.0,17.0,SDF,DFW,733,9,10,0,0,0,0,0,0,0,Y
2006,10,13,5,702.0,705,805.0,803,XE,3293,N14508,63.0,58.0,45.0,2.0,-3.0,SHV,IAH,192,10,8,0,0,0,0,0,0,0,Y
2006,4,3,1,1140.0,1135,1236.0,1232,YV,7055,N448YV,56.0,57.0,31.0,4.0,5.0,DEN,ASE,125,6,19,0,0,0,0,0,0,0,Y
2006,2,28,2,1423.0,1425,1619.0,1632,NW,177,N356NB,236.0,247.0,219.0,-13.0,-2.0,MEM,LAX,1619,8,9,0,0,0,0,0,0,0,N
2006,4,6,4,2206.0,2105,2303.0,2200,WN,1267,N515,57.0,55.0,45.0,63.0,61.0,DAL,SAT,248,3,9,0,0,0,0,2,0,61,Y
2006,8,29,2,906.0,909,1124.0,1137,NW,411,N351NB,138.0,148.0,116.0,-13.0,-3.0,MSP,DFW,852,13,9,0,0,0,0,0,0,0,N
2006,2,22,3,1715.0,1715,1850.0,1855,WN,2369,N641SW,95.0,100.0,78.0,-5.0,0.0,SLC,PHX,507,4,13,0,0,0,0,0,0,0,N
2006,6,28,3,1418.0,1339,1454.0,1418,OO,5718,N294SW,36.0,39.0,21.0,36.0,39.0,SFO,MOD,78,3,12,0,0,36,0,0,0,0,Y
2006,5,1,1,1750.0,1750,1951.0,2005,WN,1942,N343,181.0,195.0,167.0,-14.0,0.0,STL,SLC,1156,4,10,0,0,0,0,0,0,0,N
2006,6,3,6,654.0,625,1152.0,1115,AA,1664,N5TDAA,178.0,170.0,143.0,37.0,29.0,SAN,DFW,1171,12,23,0,0,29,0,8,0,0,Y
2006,6,17,6,2153.0,2158,2252.0,2306,DL,572,N970DL,59.0,68.0,41.0,-14.0,-5.0,ATL,CHS,259,7,11,0,0,0,0,0,0,0,N
2006,7,7,5,1620.0,1625,1720.0,1713,EV,4104,N633AS,60.0,48.0,27.0,7.0,-5.0,ATL,CSG,83,2,31,0,0,0,0,0,0,0,Y
2006,8,2,3,1124.0,1130,1507.0,1516,OH,5365,N798CA,163.0,166.0,148.0,-9.0,-6.0,SAT,CVG,1024,3,12,0,0,0,0,0,0,0,N
2006,7,5,3,1508.0,1430,1738.0,1655,FL,282,N982AT,150.0,145.0,128.0,43.0,38.0,ATL,BOS,946,7,15,0,0,0,0,43,0,0,Y
2006,11,22,3,746.0,750,1039.0,1026,AS,526,N320AS,173.0,156.0,150.0,13.0,-4.0,SEA,PSP,987,4,19,0,0,0,0,0,0,0,Y
2006,7,16,7,1742.0,1715,1901.0,1835,WN,2677,N488,79.0,80.0,67.0,26.0,27.0,SJC,SAN,417,2,10,0,0,6,0,0,0,20,Y
2006,2,6,1,1127.0,1130,1308.0,1327,XE,2387,N12922,101.0,117.0,78.0,-19.0,-3.0,IAH,BNA,657,6,17,0,0,0,0,0,0,0,N
2006,8,10,4,1135.0,1135,1202.0,1210,YV,1012,N646BR,27.0,35.0,12.0,-8.0,0.0,HNL,OGG,100,4,11,0,0,0,0,0,0,0,N
2006,6,1,4,908.0,855,1004.0,955,WN,1259,N214,56.0,60.0,43.0,9.0,13.0,BWI,RDU,255,3,10,0,0,0,0,0,0,0,Y
2006,6,13,2,910.0,910,1115.0,1115,WN,1234,N390SW,65.0,65.0,50.0,0.0,0.0,MDW,SDF,271,2,13,0,0,0,0,0,0,0,N
2006,6,8,4,1055.0,1055,1205.0,1210,WN,324,N418,70.0,75.0,58.0,-5.0,0.0,SNA,PHX,338,5,7,0,0,0,0,0,0,0,N
2006,10,25,3,2148.0,2200,615.0,615,AA,286,N5ETAA,327.0,315.0,305.0,0.0,-12.0,LIH,LAX,2615,8,14,0,0,0,0,0,0,0,N
2006,5,24,3,1115.0,1120,1346.0,1354,OH,5010,N669CA,151.0,154.0,138.0,-8.0,-5.0,RSW,CVG,879,3,10,0,0,0,0,0,0,0,N
2006,10,11,3,2016.0,1925,2358.0,2322,UA,1460,N445UA,162.0,177.0,144.0,36.0,51.0,ORD,MIA,1197,5,13,0,0,4,0,0,0,32,Y
2006,5,25,4,1814.0,1816,2103.0,2101,US,493,N315AW,109.0,105.0,81.0,2.0,-2.0,PHX,DEN,602,10,18,0,0,0,0,0,0,0,Y
2006,1,6,5,1405.0,1405,1518.0,1520,WN,1548,N692SW,73.0,75.0,66.0,-2.0,0.0,SJC,SAN,417,1,6,0,0,0,0,0,0,0,N
2006,12,18,1,1915.0,1910,2048.0,2043,YV,7339,N860MJ,93.0,93.0,67.0,5.0,5.0,CHS,IAD,441,10,16,0,0,0,0,0,0,0,Y
2006,11,26,7,1951.0,2000,2130.0,2154,XE,2795,N12166,159.0,174.0,141.0,-24.0,-9.0,PBI,IAH,956,8,10,0,0,0,0,0,0,0,N
2006,7,29,6,1534.0,1436,1647.0,1550,OO,6185,N289YV,73.0,74.0,62.0,57.0,58.0,ACV,SFO,250,4,7,0,0,57,0,0,0,0,Y
2006,1,29,7,1651.0,1651,1728.0,1738,EV,4290,N884AS,97.0,107.0,78.0,-10.0,0.0,ATL,AEX,500,3,16,0,0,0,0,0,0,0,N
2006,10,22,7,1749.0,1655,2109.0,2002,EV,4270,N717EV,140.0,127.0,108.0,67.0,54.0,OKC,ATL,761,17,15,0,0,0,0,67,0,0,Y
2006,9,26,2,642.0,640,903.0,920,WN,2605,N629SW,141.0,160.0,123.0,-17.0,2.0,PIT,TPA,873,4,14,0,0,0,0,0,0,0,Y
2006,12,17,7,1814.0,1814,2021.0,2020,FL,43,N184AT,307.0,306.0,277.0,1.0,0.0,ATL,LAX,1946,9,21,0,0,0,0,0,0,0,Y
2006,6,12,1,810.0,815,931.0,931,UA,298,N567UA,81.0,76.0,61.0,0.0,-5.0,OMA,ORD,416,9,11,0,0,0,0,0,0,0,N
2006,6,20,2,907.0,900,1038.0,1042,FL,435,N899AT,91.0,102.0,75.0,-4.0,7.0,RSW,ATL,515,5,11,0,0,0,0,0,0,0,Y
2006,12,16,6,1759.0,1600,1959.0,1803,AS,316,N962AS,120.0,123.0,98.0,116.0,119.0,SEA,OAK,671,6,16,0,0,116,0,0,0,0,Y
2006,10,26,4,600.0,600,751.0,745,DL,1486,N962DL,111.0,105.0,89.0,6.0,0.0,ORF,ATL,516,10,12,0,0,0,0,0,0,0,Y
2006,8,31,4,1031.0,1032,1522.0,1502,CO,1476,N47332,231.0,210.0,191.0,20.0,-1.0,IAH,PHL,1324,7,33,0,0,0,0,20,0,0,Y
2006,6,27,2,1914.0,1745,2144.0,2010,DL,1601,N908DL,150.0,145.0,103.0,94.0,89.0,ATL,LGA,761,8,39,0,0,0,0,94,0,0,Y
2006,11,25,6,814.0,815,1306.0,1317,CO,296,N73278,172.0,182.0,144.0,-11.0,-1.0,LAS,IAH,1222,18,10,0,0,0,0,0,0,0,N
2006,3,3,5,1353.0,1354,1520.0,1523,DL,671,N992DL,87.0,89.0,70.0,-3.0,-1.0,ATL,CMH,446,5,12,0,0,0,0,0,0,0,N
2006,2,24,5,1039.0,1040,1234.0,1234,XE,2255,N21197,175.0,174.0,149.0,0.0,-1.0,IAH,PHX,1009,4,22,0,0,0,0,0,0,0,N
2006,6,14,3,1414.0,1415,1511.0,1517,AA,2390,N544AA,57.0,62.0,40.0,-6.0,-1.0,AUS,DFW,190,9,8,0,0,0,0,0,0,0,N
2006,6,2,5,803.0,745,928.0,917,EV,4664,N926EV,145.0,152.0,119.0,11.0,18.0,ATL,MSP,906,8,18,0,0,0,0,0,0,0,Y
2006,4,26,3,903.0,900,1025.0,1019,MQ,3142,N815AE,82.0,79.0,61.0,6.0,3.0,SAN,SJC,417,2,19,0,0,0,0,0,0,0,Y
2006,11,14,2,738.0,745,1546.0,1555,AA,34,N338AA,308.0,310.0,283.0,-9.0,-7.0,LAX,JFK,2475,5,20,0,0,0,0,0,0,0,N
2006,10,25,3,1529.0,1530,1650.0,1630,WN,2056,N513,81.0,60.0,66.0,20.0,-1.0,DAL,SAT,248,3,12,0,0,0,0,20,0,0,Y
2006,2,10,5,1442.0,1440,1610.0,1555,XE,2463,N16918,88.0,75.0,54.0,15.0,2.0,IAH,BRO,308,5,29,0,0,0,0,15,0,0,Y
2006,6,27,2,1720.0,1725,1953.0,2000,OH,5155,N473CA,93.0,95.0,77.0,-7.0,-5.0,ATW,CVG,411,6,10,0,0,0,0,0,0,0,N
2006,10,5,4,759.0,800,1045.0,1044,AS,97,N796AS,226.0,224.0,202.0,1.0,-1.0,SEA,ANC,1449,4,20,0,0,0,0,0,0,0,Y
2006,12,21,4,722.0,730,924.0,909,DL,1420,N908DA,122.0,99.0,97.0,15.0,-8.0,PHX,SLC,507,5,20,0,0,0,0,15,0,0,Y
2006,12,31,7,1725.0,1640,1952.0,1935,WN,121,N709SW,327.0,355.0,311.0,17.0,45.0,ISP,LAS,2283,5,11,0,0,0,0,0,0,17,Y
2006,1,23,1,1748.0,1800,1942.0,1954,XE,2427,N15910,174.0,174.0,158.0,-12.0,-12.0,DAY,IAH,929,7,9,0,0,0,0,0,0,0,N
2006,9,24,7,1557.0,1535,1657.0,1640,MQ,3620,N645AE,60.0,65.0,47.0,17.0,22.0,LBB,DFW,282,5,8,0,0,0,0,0,0,17,Y
2006,7,7,5,1556.0,1601,1653.0,1655,MQ,3685,N836AE,57.0,54.0,38.0,-2.0,-5.0,DFW,TXK,181,4,15,0,0,0,0,0,0,0,N
2006,6,2,5,1309.0,1320,2140.0,2150,DL,1566,N842MH,331.0,330.0,295.0,-10.0,-11.0,HNL,LAX,2556,18,18,0,0,0,0,0,0,0,N
2006,9,9,6,1909.0,1740,2013.0,1855,US,1278,N423US,64.0,75.0,53.0,78.0,89.0,DCA,PVD,357,3,8,0,0,7,0,0,0,71,Y
2006,2,28,2,1914.0,1903,1952.0,1943,HA,247,N486HA,38.0,40.0,26.0,9.0,11.0,KOA,HNL,163,6,6,0,0,0,0,0,0,0,Y
2006,9,10,7,1100.0,1100,1432.0,1422,OH,5004,N783CA,152.0,142.0,117.0,10.0,0.0,IAH,CVG,871,1,34,0,0,0,0,0,0,0,Y
2006,8,4,5,1927.0,1931,2118.0,2054,NW,1189,N522US,291.0,263.0,245.0,24.0,-4.0,DTW,LAS,1750,13,33,0,0,0,0,24,0,0,Y
2006,6,27,2,2124.0,2040,24.0,2350,WN,269,N672SW,120.0,130.0,111.0,34.0,44.0,MDW,MHT,838,2,7,0,0,23,0,0,0,11,Y
2006,2,16,4,1309.0,1251,1354.0,1345,UA,765,N847UA,45.0,54.0,27.0,9.0,18.0,GUC,DEN,152,4,14,0,0,0,0,0,0,0,Y
2006,10,9,1,1445.0,1445,1500.0,1459,OH,5642,N355CA,75.0,74.0,55.0,1.0,0.0,CVG,ORD,264,4,16,0,0,0,0,0,0,0,Y
2006,6,21,3,1700.0,1700,1757.0,1750,OH,5494,N954CA,117.0,110.0,93.0,7.0,0.0,DCA,HSV,613,7,17,0,0,0,0,0,0,0,Y
2006,7,6,4,600.0,600,845.0,841,EV,4334,N744EV,165.0,161.0,138.0,4.0,0.0,ALB,ATL,852,14,13,0,0,0,0,0,0,0,Y
2006,9,6,3,1220.0,1230,1441.0,1446,YV,2694,N906FJ,81.0,76.0,68.0,-5.0,-10.0,BHM,CLT,351,3,10,0,0,0,0,0,0,0,N
2006,3,27,1,750.0,753,1051.0,1045,NW,1231,N345NB,181.0,172.0,144.0,6.0,-3.0,IAH,MSP,1034,5,32,0,0,0,0,0,0,0,Y
2006,8,17,4,1310.0,1315,1350.0,1405,YV,2706,N917FJ,40.0,50.0,25.0,-15.0,-5.0,TUS,PHX,110,9,6,0,0,0,0,0,0,0,N
2006,2,9,4,1605.0,1530,1850.0,1830,WN,1503,N420,225.0,240.0,205.0,20.0,35.0,BNA,PHX,1448,10,10,0,0,0,0,0,0,20,Y
2006,3,1,3,1949.0,1940,2233.0,2238,AA,543,N589AA,164.0,178.0,142.0,-5.0,9.0,LGA,TPA,1011,6,16,0,0,0,0,0,0,0,Y
2006,9,5,2,1103.0,1109,1153.0,1155,MQ,3946,N931AE,50.0,46.0,26.0,-2.0,-6.0,BMI,ORD,116,6,18,0,0,0,0,0,0,0,N
2006,7,28,5,855.0,900,1024.0,1035,DL,1484,N951DL,89.0,95.0,68.0,-11.0,-5.0,ATL,RIC,481,4,17,0,0,0,0,0,0,0,N
2006,8,2,3,554.0,600,759.0,814,XE,2337,N17169,65.0,74.0,51.0,-15.0,-6.0,MKE,CLE,328,5,9,0,0,0,0,0,0,0,N
2006,12,24,7,821.0,820,1020.0,1015,MQ,4253,N520DC,119.0,115.0,87.0,5.0,1.0,ORD,ICT,588,3,29,0,0,0,0,0,0,0,Y
2006,6,22,4,1214.0,1220,1305.0,1307,MQ,3043,N396AE,51.0,47.0,31.0,-2.0,-6.0,LAX,SBA,89,6,14,0,0,0,0,0,0,0,N
2006,8,24,4,1915.0,1719,2053.0,1901,OO,5827,N909SW,98.0,102.0,71.0,112.0,116.0,ORD,FSD,462,5,22,0,0,0,0,0,0,112,Y
2006,1,24,2,1337.0,1335,1628.0,1627,OO,6822,N738SK,111.0,112.0,81.0,1.0,2.0,ORD,RDU,647,5,25,0,0,0,0,0,0,0,Y
2006,9,16,6,1616.0,1425,1840.0,1705,WN,1553,N704SW,144.0,160.0,128.0,95.0,111.0,MDW,HOU,937,4,12,0,0,95,0,0,0,0,Y
2006,7,3,1,1351.0,1355,1513.0,1520,WN,2643,N651SW,82.0,85.0,73.0,-7.0,-4.0,SMF,SAN,480,1,8,0,0,0,0,0,0,0,N
2006,10,24,2,1950.0,1953,2206.0,2209,UA,321,N504UA,256.0,256.0,228.0,-3.0,-3.0,ORD,PDX,1739,2,26,0,0,0,0,0,0,0,N
2006,6,29,4,1028.0,1030,1203.0,1159,XE,2046,N16919,95.0,89.0,75.0,4.0,-2.0,ALB,CLE,424,8,12,0,0,0,0,0,0,0,Y
2006,1,15,7,2050.0,1920,2325.0,2210,WN,1721,N731,335.0,350.0,320.0,75.0,90.0,BWI,SAN,2295,5,10,0,0,0,0,0,0,75,Y
2006,5,15,1,2013.0,1941,2208.0,2140,OO,3902,N459SW,115.0,119.0,97.0,28.0,32.0,SLC,ELP,693,5,13,0,0,28,0,0,0,0,Y
2006,4,29,6,1623.0,1630,1820.0,1845,XE,2393,N17984,117.0,135.0,90.0,-25.0,-7.0,EWR,TYS,631,3,24,0,0,0,0,0,0,0,N
2006,3,1,3,1424.0,1425,1443.0,1500,OH,5850,N528CA,79.0,95.0,68.0,-17.0,-1.0,CVG,CID,419,3,8,0,0,0,0,0,0,0,N
2006,1,23,1,1657.0,1700,1729.0,1739,OO,6155,N229SW,32.0,39.0,20.0,-10.0,-3.0,LAX,SBA,89,2,10,0,0,0,0,0,0,0,N
2006,5,25,4,1731.0,1655,1941.0,1843,UA,953,N428UA,310.0,288.0,255.0,58.0,36.0,IAD,PHX,1956,4,51,0,0,36,0,22,0,0,Y
2006,6,29,4,1314.0,1236,1531.0,1504,UA,263,N815UA,317.0,328.0,300.0,27.0,38.0,IAD,SEA,2306,5,12,0,0,0,0,0,0,27,Y
2006,12,28,4,1730.0,1740,1948.0,2007,XE,2050,N11121,198.0,207.0,177.0,-19.0,-10.0,RIC,IAH,1157,9,12,0,0,0,0,0,0,0,N
2006,10,18,3,550.0,600,709.0,719,TZ,4219,N305TZ,139.0,139.0,117.0,-10.0,-10.0,LGA,MDW,725,7,15,0,0,0,0,0,0,0,N
2006,10,3,2,726.0,725,900.0,905,WN,936,N400,154.0,160.0,142.0,-5.0,1.0,BNA,DEN,1013,4,8,0,0,0,0,0,0,0,Y
2006,5,1,1,1432.0,1435,1627.0,1631,OH,5786,N468CA,115.0,116.0,98.0,-4.0,-3.0,CVG,HPN,597,6,11,0,0,0,0,0,0,0,N
2006,10,16,1,1023.0,1010,1144.0,1130,MQ,3707,N845AE,81.0,80.0,65.0,14.0,13.0,DFW,LRD,394,3,13,0,0,0,0,0,0,0,Y
2006,12,6,3,1712.0,1715,2004.0,2014,DL,1190,N990DL,112.0,119.0,89.0,-10.0,-3.0,IAH,ATL,689,11,12,0,0,0,0,0,0,0,N
2006,11,1,3,947.0,955,1128.0,1143,CO,1451,N16650,101.0,108.0,71.0,-15.0,-8.0,LGA,CLE,418,4,26,0,0,0,0,0,0,0,N
2006,12,9,6,815.0,815,1104.0,1115,DL,1405,N915DL,109.0,120.0,87.0,-11.0,0.0,MKE,ATL,669,10,12,0,0,0,0,0,0,0,N
2006,2,28,2,1700.0,1700,1807.0,1810,WN,1301,N321,67.0,70.0,57.0,-3.0,0.0,SMF,BUR,358,2,8,0,0,0,0,0,0,0,N
2006,12,1,5,1337.0,1335,1441.0,1430,F9,783,N913FR,124.0,115.0,101.0,11.0,2.0,DEN,LAS,629,8,15,0,0,0,0,0,0,0,Y
2006,8,28,1,1847.0,1850,2039.0,2007,XE,2219,N18557,172.0,137.0,123.0,32.0,-3.0,TYS,IAH,772,9,40,0,0,0,0,32,0,0,Y
2006,12,11,1,2010.0,2015,2221.0,2220,WN,963,N305SW,71.0,65.0,54.0,1.0,-5.0,ONT,PHX,325,5,12,0,0,0,0,0,0,0,Y
2006,3,11,6,1424.0,1402,1539.0,1513,DL,798,N949DL,75.0,71.0,52.0,26.0,22.0,CHS,ATL,259,8,15,0,0,0,0,4,0,22,Y
2006,7,29,6,857.0,900,1717.0,1703,UA,306,N823UA,320.0,303.0,284.0,14.0,-3.0,LAX,BWI,2329,4,32,0,0,0,0,0,0,0,Y
2006,10,15,7,1745.0,1745,2045.0,2023,DL,598,N973DL,180.0,158.0,88.0,22.0,0.0,JFK,CVG,589,7,85,0,0,0,0,22,0,0,Y
2006,7,28,5,1006.0,840,1118.0,955,UA,1116,N932UA,72.0,75.0,54.0,83.0,86.0,BUR,SFO,326,3,15,0,0,0,0,83,0,0,Y
2006,11,30,4,600.0,607,755.0,800,NW,1693,N365NW,115.0,113.0,91.0,-5.0,-7.0,RDU,DTW,501,11,13,0,0,0,0,0,0,0,N
2006,6,10,6,835.0,840,926.0,946,YV,7144,N650ML,51.0,66.0,32.0,-20.0,-5.0,IAD,PHL,134,8,11,0,0,0,0,0,0,0,N
2006,4,30,7,1846.0,1830,2004.0,1959,CO,1199,N16648,78.0,89.0,51.0,5.0,16.0,BOS,EWR,200,12,15,0,0,0,0,0,0,0,Y
2006,4,29,6,1317.0,1310,1414.0,1410,AA,484,N407AA,57.0,60.0,36.0,4.0,7.0,AUS,DFW,190,9,12,0,0,0,0,0,0,0,Y
2006,10,9,1,701.0,705,924.0,925,WN,452,N699SW,143.0,140.0,130.0,-1.0,-4.0,PBI,BWI,883,3,10,0,0,0,0,0,0,0,N
2006,8,25,5,1631.0,1558,1919.0,1900,DL,1874,N651DL,348.0,362.0,321.0,19.0,33.0,JFK,LAX,2475,7,20,0,0,4,0,0,0,15,Y
2006,1,2,1,633.0,625,802.0,759,XE,2909,N17169,89.0,94.0,60.0,3.0,8.0,PWM,EWR,284,7,22,0,0,0,0,0,0,0,Y
2006,5,22,1,913.0,918,924.0,920,OO,6771,N932SW,71.0,62.0,39.0,4.0,-5.0,LAN,ORD,179,8,24,0,0,0,0,0,0,0,Y
2006,12,19,2,730.0,730,1037.0,1035,AA,1741,N494AA,247.0,245.0,219.0,2.0,0.0,EWR,DFW,1372,6,22,0,0,0,0,0,0,0,Y
2006,5,30,2,1746.0,1730,1858.0,1842,DL,1962,N909DE,72.0,72.0,45.0,16.0,16.0,DCA,LGA,214,3,24,0,0,16,0,0,0,0,Y
2006,6,12,1,1624.0,1514,1834.0,1645,EV,4453,N844AS,130.0,91.0,82.0,109.0,70.0,DAY,ATL,432,43,5,0,0,0,0,109,0,0,Y
2006,3,11,6,811.0,800,1038.0,1018,DL,354,N830MH,267.0,258.0,233.0,20.0,11.0,ATL,SLC,1589,17,17,0,0,11,0,9,0,0,Y
2006,6,19,1,1925.0,1842,2118.0,2033,CO,1414,N19638,113.0,111.0,79.0,45.0,43.0,IAH,BHM,562,12,22,0,0,0,5,2,0,38,Y
2006,3,7,2,1743.0,1746,1905.0,1904,AA,1029,N409AA,82.0,78.0,50.0,1.0,-3.0,XNA,DFW,281,24,8,0,0,0,0,0,0,0,Y
2006,12,3,7,1613.0,1618,1834.0,1829,FL,583,N937AT,141.0,131.0,125.0,5.0,-5.0,ROC,ATL,749,8,8,0,0,0,0,0,0,0,Y
